url,code,name,total_language_data_available,total_students,JK_GR3,GR4_GR6,GR7_GR8,female,male,primary_not_english,living_in_canada_less_than_2_years,living_in_canada_for_3_5_years
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4670,4670,Military Trail Public School,437,437,202,144,91,212,225,288,30,38
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2069,2069,Mill Valley Junior School,164,164,119,,,89,75,73,9,4
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4668,4668,Milliken Public School,352,352,211,71,70,165,187,307,11,13
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2056,2056,Millwood Junior School,411,411,298,,,220,191,267,15,17
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3196,3196,Milne Valley Middle School,509,510,,,,254,255,304,20,40
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5246,5246,Montrose Junior Public School,192,192,117,75,,78,114,59,7,5
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4665,4665,Morrish Public School,350,350,159,133,58,165,185,226,7,24
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5254,5254,Morse Street Junior Public School,453,453,271,182,,240,213,83,13,8
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5342,5342,Mountview Alternative School,88,88,53,21,14,36,50,20,0,3
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3201,3201,Muirhead Public School,204,204,125,,,91,113,148,45,42
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5261,5261,Nelson Mandela Park Public School,419,419,240,120,59,192,227,253,9,24
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5255,5255,Niagara Street Junior Public School,325,325,224,101,,153,172,135,16,19
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4672,4672,Norman Cook Junior Public School,146,146,95,51,,68,78,83,9,11
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3206,3206,Norman Ingram Public School,223,223,172,,,92,131,119,13,23
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2016,2016,Norseman Junior Middle School,760,760,351,210,199,365,394,259,15,22
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4678,4678,North Agincourt Junior Public School,384,384,225,159,,204,180,287,10,12
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4684,4684,North Bendale Junior Public School,146,146,98,48,,66,80,89,6,24
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4690,4690,North Bridlewood Junior Public School,208,208,144,64,,100,108,150,9,30
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2015,2015,North Kipling Junior Middle School,566,566,256,182,128,260,306,235,32,51
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5336,5336,North Preparatory Junior Public School,269,269,170,99,,134,134,203,44,54
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1442,1442,Northlea Elementary and Middle School,715,715,329,232,154,375,340,179,12,25
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5256,5256,Norway Junior Public School,334,334,232,102,,167,167,68,3,7
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3208,3208,O'Connor Public School,246,246,179,,,137,109,144,15,24
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3209,3209,Oakdale Park Middle School,419,420,,,,173,247,194,12,31
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4696,4696,Oakridge Junior Public School,549,549,462,,,273,276,474,54,69
